,Urdu,Roman Urdu
0,آؤ,aao
1,آو,aao
2,آئی,aai
3,آئیں,aaien
4,آئے,aye
5,آج,aaj
6,آجاؤ,aajao
7,آجائیں,aajien
8,آجائیے,aajiye
9,آجاو,aajao
10,آجکل,aajkal
11,آپ,aap
12,آپکا,aapka
13,آپکو,aapka
14,آپکی,aapki
15,آیا,aya
16,اب,ab
17,ابھی,abhi
18,اس,is
19,اسطرح,istrh
20,اسکا,iska
21,اسکی,iski
22,اسکے,iskay
23,اسی,isi
24,اسے,isy
25,الگ,alag
26,ان,un
27,انکا,inka
28,انکی,inki
29,انکے,inkay
30,انھوں,inhon
31,انھیں,inhain
32,انہیں,inhain
33,اور,aur
34,اونچا,uncha
35,اونچی,unchi
36,اونچے,unchay
37,اوپر,upar
38,اپنا,apna
39,اپنی,apni
40,اپنے,apnay
41,اکثر,aksar
42,اگر,agar
43,اگرچہ,agarcha
44,اہم,aham
45,بائیں,baien
46,بار,bar
47,بارے,baray
48,باہر,bahar
49,باہم,baham
50,بذریعہ,bazaria
51,بس,bs
52,بظاہر,bazahir
53,بعد,bad
54,بغیر,baghair
55,بلاشبہ,bilashuba
56,بند,band
57,بہت,bohat
58,بھی,bhi
59,بیشتر,bashter
60,بیشک,beshak
61,بےشک,beshak
62,تاہم,taham
63,تب,tb
64,تجھ,tujh
65,تجھے,tujhey
66,تر,tr
67,ترین,trien
68,تعداد,tadad
69,تلک,tlak
70,تم,tum
71,تمام,tamam
72,تمکو,tumko
73,تمھارا,tumhara
74,تمھاری,tumhari
75,تمھارے,tumharay
76,تمھیں,tumhain
77,تمہارا,tumhara
78,تمہاری,tumhari
79,تمہارے,tumharay
80,تمہیں,tumhain
81,تو,tou
82,تک,tak
83,تھا,tha
84,تھی,thi
85,تھیں,thien
86,تھے,thay
87,تیسرا,tesra
88,تیسری,tesri
89,تیسرے,tesray
90,جائیں,jien
91,جاتا,jata
92,جاتی,jati
93,جاتے,jatay
94,جانا,jana
95,جانے,janay
96,جائے,jaye
97,جب,jab
98,جبہی,jabhi
99,جبھی,jabhi
100,جبکہ,jabky
101,جو,jo
102,جہاں,jahan
103,جیسا,jesa
104,جیساکہ,jesaky
105,جیسی,jesi
106,جیسے,jesay
107,خود,khud
108,دائیں,dien
109,درمیان,darmiyan
110,دفعہ,dafa
111,دو,do
112,دور,door
113,دوران,doran
114,دوسرا,dusra
115,دوسری,dusri
116,دوسرے,dusray
117,دونوں,dono
118,دی,di
119,دیا,diya
120,دینا,dena
121,دینی,deni
122,دینے,denay
123,دیکھا,dekha
124,دیکھو,dekho
125,دیکھی,dekhi
126,دیکھیں,dekhain
127,دے,dy
128,رکھ,rakh
129,رکھا,rakha
130,رکھی,rakhi
131,رکھیں,rakhien
132,رکھے,rakhy
133,رہ,reh
134,رہا,raha
135,رہی,rahi
136,رہیں,rahain
137,رہے,rahay
138,زیادہ,zayada
139,ساتھ,sath
140,سارا,sara
141,ساری,sari
142,سارے,sary
143,سب,sab
144,سبھی,sabhi
145,سبہی,sabhi
146,سکتا,sakta
147,سکتی,sakti
148,سکتیں,saktain
149,سکتے,saktay
150,سوا,sawa
151,سے,sy
152,شاید,shayad
153,شدہ,shuda
154,صحیح:,sahih
155,صرف,sirf
156,طرح,tarah
157,طرف,taraf
158,غلط,ghalat
159,غیر,ghair
160,لئے,liye
161,لا,la
162,لازمی,lazmi
163,لو,lo
164,لگا,laga
165,لگی,lagi
166,لگیں,lagien
167,لگے,lagay
168,لی,li
169,لیا,liya
170,لینا,lena
171,لینی,leni
172,لینے,lenay
173,لیکن,lekin
174,لیے,liye
175,لیئے,liye
176,لے,la
177,مجھ,mujh
178,مجھکو,mujhko
179,مجھے,mujhey
180,مرتبہ,martabah
181,مزید,mazeed
182,مشتمل,mushtamil
183,مل,mil
184,ملا,mila
185,ملو,milo
186,ملی,mili
187,ملے,milay
188,مگر,maghar
189,میرا,mera
190,میری,meri
191,میرے,meray
192,میں,main
193,نا,na
194,نھیں,nahin
195,نہ,nah
196,نہیں,nahin
197,نیچا,necha
198,نیچی,nechi
199,نیچے,nechay
200,نے,nay
201,و,wa
202,والا,wala
203,والوں,walon
204,والی,wali
205,والے,waly
206,وہ,woh
207,وہاں,wahan
208,وہی,wahi
209,ویں,wain
210,پاس,pas
211,پر,par
212,پڑا,para
213,پڑے,paray
214,پڑی,pari
215,پورا,pora
216,پوری,pori
217,پورے,poray
218,پھر,phir
219,پھرو,phiro
220,پھری,phiri
221,پھرے,phiray
222,پہلا,pehla
223,پہلی,pehli
224,پہلے,pehlay
225,چاہا,chaha
226,چاہتا,chahta
227,چاہتی,chahti
228,چاہتے,chahti
229,چاہیئے,chahiye
230,چاہیے,chahiye
231,چکا,chuka
232,چکی,chuki
233,چکیں,chukain
234,چکے,chukay
235,کا,ka
236,کب,kab
237,کبھی,kabhi
238,کتنا,kitna
239,کر,kar
240,کرتے,karty
241,کرنا,karna
242,کرنی,karni
243,کرنیکا,karnyka
244,کرنیکی,karnyki
245,کرنیکے,karnyky
246,کرنے,karnay
247,کرو,karo
248,کروانا,karwana
249,کریں,karain
250,کرینگے,karaingy
251,کس,kis
252,کسی,kesi
253,کل,kal
254,کم,kam
255,کمی,kami
256,کو,ko
257,کوئی,koi
258,کون,kon
259,کچھ,kuch
260,کہ,keh
261,کہا,kaha
262,کہاں,kahan
263,کہتا,kehta
264,کہتی,kehti
265,کہتے,kehty
266,کہنا,kehna
267,کہنی,kehni
268,کہنے,kehny
269,کہو,kaho
270,کہوں,kahon
271,کہیں,kahain
272,کہے,kahay
273,کی,ki
274,کیا,kya
275,کیجئے,kijiye
276,کیجیے,kijiye
277,کیساتھ,kaysath
278,کیسے,kesay
279,کیلئے,kyliye
280,کیلیے,kyliye
281,کیوں,kyon
282,کے,kay
283,گا,ga
284,ہوگئ,hogi
285,گئی,hogi
286,گئیں,gain
287,گئے,gaye
288,گی,gi
289,گیا,gaya
290,گے,ga
291,ہاں,han
292,ہر,hr
293,ہم,hum
294,ہمارا,hamara
295,ہماری,hamari
296,ہمارے,hamary
297,ہمیں,hamain
298,ہو,ho
299,ہوئے,hoey
300,ہوا,hoa
301,ہونا,hona
302,ہونگا,honga
303,ہونگی,hongi
304,ہونگے,hongy
305,ہونی,honi
306,ہونے,hony
307,ہوچکا,hochuka
308,ہوچکی,hochuki
309,ہوگئی,hogi
310,ہوگا,hoga
311,ہوگی,hogi
312,ہوگیا,hogaya
313,ہوگے,hogy
314,ہوگئے,hogy
315,ہوں,hon
316,ہوے,hoey
317,ہی,hi
318,ہیں,hain
319,ہے,hay
320,یوں,yon
321,یہ,yeh
322,یہاں,yahan
